Model,Dataset,Metric,Value,Split
GBDT,Train,RMSE,1.069544,16
GBDT,Train,MAE,0.495514,16
GBDT,Train,R2,0.999741,17
GBDT,Train,RMSE,0.999641,17
GBDT,Train,MAE,0.485340,17
GBDT,Train,R2,0.999746,18
GBDT,Train,RMSE,0.975101,18
GBDT,Train,MAE,0.443701,18
GBDT,Train,R2,0.999488,19
GBDT,Train,RMSE,1.403987,19
GBDT,Train,MAE,0.664296,19
GBDT,Train,R2,0.999728,20
GBDT,Train,RMSE,1.030585,20
GBDT,Train,MAE,0.568490,20
GBDT,Train,R2,0.999629,21
GBDT,Train,RMSE,1.205733,21
GBDT,Train,MAE,0.524470,21
GBDT,Train,R2,0.999762,22
GBDT,Train,RMSE,0.955406,22
GBDT,Train,MAE,0.512761,22
GBDT,Train,R2,0.999827,23
GBDT,Train,RMSE,0.835816,23
GBDT,Train,MAE,0.482683,23
GBDT,Train,R2,0.999878,24
GBDT,Train,RMSE,0.697450,24
GBDT,Train,MAE,0.408956,24
GBDT,Train,R2,0.999779,25
GBDT,Train,RMSE,0.916385,25
GBDT,Train,MAE,0.452902,25
GBDT,Train,R2,0.999760,26
GBDT,Train,RMSE,0.979224,26
GBDT,Train,MAE,0.466679,26
GBDT,Train,R2,0.999761,27
GBDT,Train,RMSE,0.985454,27
GBDT,Train,MAE,0.482188,27
GBDT,Train,R2,0.999906,28
GBDT,Train,RMSE,0.599478,28
GBDT,Train,MAE,0.407310,28
GBDT,Train,R2,0.999716,29
GBDT,Train,RMSE,1.042867,29
GBDT,Train,MAE,0.482490,29
GBDT,Train,R2,0.999789,30
GBDT,Train,RMSE,0.890535,30
GBDT,Train,MAE,0.491571,30
GBDT,Train,R2,0.999896,31
GBDT,Train,RMSE,0.634202,31
GBDT,Train,MAE,0.353650,31
GBDT,Train,R2,0.999662,32
GBDT,Train,RMSE,1.148034,32
GBDT,Train,MAE,0.536799,32
GBDT,Train,R2,0.999833,33
GBDT,Train,RMSE,0.799449,33
GBDT,Train,MAE,0.439559,33
GBDT,Train,R2,0.999769,34
GBDT,Train,RMSE,0.955033,34
GBDT,Train,MAE,0.471730,34
GBDT,Train,R2,0.999743,35
GBDT,Train,RMSE,1.018324,35
GBDT,Train,MAE,0.446385,35
GBDT,Train,R2,0.999879,36
GBDT,Train,RMSE,0.699608,36
GBDT,Train,MAE,0.400093,36
GBDT,Train,R2,0.999770,37
GBDT,Train,RMSE,0.963132,37
GBDT,Train,MAE,0.461960,37
GBDT,Train,R2,0.999704,38
GBDT,Train,RMSE,1.068633,38
GBDT,Train,MAE,0.489845,38
GBDT,Train,R2,0.999707,39
GBDT,Train,RMSE,1.070475,39
GBDT,Train,MAE,0.466686,39
GBDT,Train,R2,0.999832,40
GBDT,Train,RMSE,0.787721,40
GBDT,Train,MAE,0.409843,40
GBDT,Train,R2,0.999788,41
GBDT,Train,RMSE,0.900433,41
GBDT,Train,MAE,0.429816,41
GBDT,Train,R2,0.999917,42
GBDT,Train,RMSE,0.569338,42
GBDT,Train,MAE,0.353169,42
GBDT,Train,R2,0.999875,43
GBDT,Train,RMSE,0.687219,43
GBDT,Train,MAE,0.419111,43
GBDT,Train,R2,0.999779,44
GBDT,Train,RMSE,0.925022,44
GBDT,Train,MAE,0.491917,44
GBDT,Train,R2,0.999608,45
GBDT,Train,RMSE,1.215918,45
GBDT,Train,MAE,0.566377,45
GBDT,Train,R2,0.999819,46
GBDT,Train,RMSE,0.855921,46
GBDT,Train,MAE,0.474235,46
GBDT,Train,R2,0.999680,47
GBDT,Train,RMSE,1.146393,47
GBDT,Train,MAE,0.488658,47
GBDT,Train,R2,0.999727,48
GBDT,Train,RMSE,0.986086,48
GBDT,Train,MAE,0.547477,48
GBDT,Train,R2,0.999845,49
GBDT,Train,RMSE,0.774479,49
GBDT,Train,MAE,0.379085,49
GBDT,Test,R2,0.957285,0
GBDT,Test,RMSE,11.863173,0
GBDT,Test,MAE,6.575335,0
GBDT,Test,R2,0.971076,1
GBDT,Test,RMSE,11.254134,1
GBDT,Test,MAE,5.906407,1
GBDT,Test,R2,0.964687,2
GBDT,Test,RMSE,12.103192,2
GBDT,Test,MAE,5.996665,2
GBDT,Test,R2,0.980780,3
GBDT,Test,RMSE,8.182838,3
GBDT,Test,MAE,5.103679,3
GBDT,Test,R2,0.969818,4
GBDT,Test,RMSE,10.692874,4
GBDT,Test,MAE,6.530753,4
GBDT,Test,R2,0.964736,5
GBDT,Test,RMSE,12.683427,5
GBDT,Test,MAE,7.384812,5
GBDT,Test,R2,0.977490,6
GBDT,Test,RMSE,10.056072,6
GBDT,Test,MAE,6.468084,6
GBDT,Test,R2,0.890315,7
GBDT,Test,RMSE,22.695709,7
GBDT,Test,MAE,10.095324,7
GBDT,Test,R2,0.898706,8
GBDT,Test,RMSE,19.406171,8
GBDT,Test,MAE,8.229918,8
GBDT,Test,R2,0.948737,9
GBDT,Test,RMSE,14.444909,9
GBDT,Test,MAE,6.175909,9
GBDT,Test,R2,0.950610,10
GBDT,Test,RMSE,13.405157,10
GBDT,Test,MAE,7.391008,10
GBDT,Test,R2,0.983217,11
GBDT,Test,RMSE,8.407347,11
GBDT,Test,MAE,4.838096,11
GBDT,Test,R2,0.948514,12
GBDT,Test,RMSE,15.658453,12
GBDT,Test,MAE,7.327517,12
GBDT,Test,R2,0.921755,13
GBDT,Test,RMSE,18.414757,13
GBDT,Test,MAE,8.835750,13
GBDT,Test,R2,0.915565,14
GBDT,Test,RMSE,20.610359,14
GBDT,Test,MAE,8.872279,14
GBDT,Test,R2,0.874933,15
GBDT,Test,RMSE,20.521478,15
GBDT,Test,MAE,8.331043,15
GBDT,Test,R2,0.952903,16
GBDT,Test,RMSE,13.483055,16
GBDT,Test,MAE,6.110948,16
GBDT,Test,R2,0.955543,17
GBDT,Test,RMSE,13.285755,17
GBDT,Test,MAE,6.215695,17
GBDT,Test,R2,0.957249,18
GBDT,Test,RMSE,13.721131,18
GBDT,Test,MAE,7.114312,18
GBDT,Test,R2,0.979091,19
