carbon_precursors,MgO_precursors,Mg_loading_method,act1_type,act2_type,carb1_type,carb2_type,post_treatment_type,SBET_m2_g,Vmicro_cm3_g,MgO_mass_ratio,temperature_C,pressure_bar,act1_temp_C,act1_duration_h,act2_temp_C,act2_duration_h,carb1_temp_C,carb1_duration_h,carb2_temp_C,carb2_duration_h,Vmeso_cm3_g,microporosity,MgO_surface_density,T_lnP,inv_T_K
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.69,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-97.42576093686476,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.71,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-89.73088589341165,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.74,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-78.58035809020394,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.76,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-71.3917853233134,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.79,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-60.95166104147638,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.81,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-54.20687391241639,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.84,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-44.392045592317224,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.86,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-38.03943369214761,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.89,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-28.779224851935247,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.91,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-22.775686481701783,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.94,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-14.01076336195944,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.96,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,-8.319932524448147,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,0.99,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,0.0,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1453.0,0.56,0.1982,0.0,1.0,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.18999999999999995,0.7466666666666667,0.13640743289745352,2.717932872542864,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.05,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-768.4831372830039,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.13,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-537.0437267182392,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.16,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-484.01001137369167,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.18,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-453.6287291433339,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.21,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-413.5839901678232,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.23,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-389.81683254310576,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.26,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-357.6443963535646,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.28,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-338.1253803418417,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.31,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-311.2364744529018,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.33,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-294.6768590037426,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.36,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-271.5800084638772,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.38,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-257.2003726623342,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.41,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-236.95778006854508,0.0036609921288669233
1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,793.0,0.29,0.991,0.0,0.43,700.0,2.0,0.0,0.0,160.0,1.0,600.0,2.0,0.25000000000000006,0.537037037037037,1.2496847414880201,-224.2508377978741,0.0036609921288669233
